time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-12-14,2332.24,2115.85,2260.72,1775619.27,3951851607.63,2202.03,direct,
2023-12-21,2393.37,2174.17,2202.03,1912472.03,4358591864.11,2380.34,direct,
2023-12-28,2447.35,2092.33,2380.34,2245286.29,5216074624.63,2210.57,direct,
2024-01-04,2643.46,2168.41,2210.57,2413428.97,5601289338.9,2584.69,direct,
2024-01-11,2717.2,2455.87,2584.69,2389510.58,6155081496.84,2528.09,direct,
2024-01-18,2546.7,2165.34,2528.09,1931480.32,4561998458.09,2234.13,direct,
2024-01-25,2391.57,2170.05,2234.13,1574219.73,3587560267.2,2281.77,direct,
2024-02-01,2473.23,2239.78,2281.77,1424657.49,3313407169.67,2424.33,direct,
2024-02-08,2788.42,2411.45,2424.33,2141531.49,5486139721.28,2777.51,direct,
2024-02-15,3032.5,2720.42,2777.51,2278395.9,6543192109.11,2968.67,direct,
2024-02-22,3490.66,2906.28,2968.67,2341282.63,7311486441.7,3386.34,direct,
2024-02-29,3902.17,3207.51,3386.34,2568893.9,9143049016.28,3821.19,direct,
2024-03-07,4092.73,3737.47,3821.19,2028587.11,8000498011.48,4007.46,direct,
2024-03-14,4012.91,3057.97,4007.46,2972721.39,10479697400.74,3516.66,direct,
2024-03-21,3680.41,3250.83,3516.66,2246698.26,7830220977.42,3499.77,direct,
2024-03-28,3654.87,3203.99,3499.77,1764643.61,6090796231.23,3312.24,direct,
2024-04-04,3728.57,3211.37,3312.24,1878347.03,6491214575.89,3545.56,direct,
2024-04-11,3617.34,2832.33,3545.56,2817204.24,8883227471.86,2985.12,direct,
2024-04-18,3293.6,2866.07,2985.12,1640079.18,5125402833.21,3139.1,direct,
2024-04-25,3356.14,2814.92,3139.1,1974742.57,6118450642.02,2968.82,direct,
2024-05-02,3221.37,2891.41,2968.82,1549306.49,4729996810.87,2973.31,direct,
2024-05-09,3058.63,2859.65,2973.31,1468877.84,4326636224.92,3033.46,direct,
2024-05-16,3838.22,2924.04,3033.46,2334865.26,7989895594.58,3736.33,direct,
2024-05-23,3973.81,3545.21,3736.33,1888181.02,7178886670.39,3762.22,direct,
2024-05-30,3887.65,3700.91,3762.22,1158109.11,4386321017.43,3866.46,direct,
2024-06-06,3878.9,3420.98,3866.46,1214177.84,4428953733.78,3559.25,direct,
2024-06-13,3650.47,3360.4,3559.25,1724308.68,6034774151.3,3558.97,direct,
2024-06-20,3624.03,3238.76,3558.97,1725841.96,5914691505.01,3369.46,direct,
2024-06-27,3519.01,3248.43,3369.46,1207936.27,4111413196.59,3292.16,direct,
2024-07-04,3309.66,2813.4,3292.16,2286760.56,6911921146.9,3100.44,direct,
2024-07-11,3518.37,3045.45,3100.44,1937732.75,6375243071.48,3387.66,direct,
2024-07-18,3563.26,3305.26,3387.66,2214273.66,7658155171.54,3335.15,direct,
2024-07-25,3396.47,3086.98,3335.15,2546464.22,8293659365.86,3231.84,direct,
2024-08-01,3242.01,2121.38,3231.84,4842775.28,12768917463.48,2343.5,direct,
2024-08-08,2780.36,2321.44,2343.5,3235137.29,8481139208.23,2661.98,direct,
2024-08-15,2696.96,2516.45,2661.98,2425439.19,6333186172.48,2631.39,direct,
2024-08-22,2821.03,2397.41,2631.39,2862983.37,7519290722.23,2528.73,direct,
2024-08-29,2596.48,2307.38,2528.73,3062857.83,7599864968.27,2450.36,direct,
2024-09-05,2465.98,2150.58,2450.36,4653217.56,10795304674.3,2340.73,direct,
2024-09-12,2467.01,2252.35,2340.73,3682043.02,8640323883.25,2375.01,direct,
2024-09-19,2703.72,2373.21,2375.01,3936389.15,10121711533.12,2579.69,direct,
2024-09-26,2729.09,2351.69,2579.69,4346246.85,11205261921.11,2363.64,direct,
2024-10-03,2520.68,2309.02,2363.64,3680515.87,8874620788.86,2368.44,direct,
2024-10-10,2687.32,2327.91,2368.44,3602539.53,9043120305.9,2610.95,direct,
2024-10-17,2768.44,2447.63,2610.95,2890369.44,7607781223.58,2522.33,direct,
2024-10-24,2721.17,2379.92,2522.33,3852670.92,9827502922.8,2658.35,direct,
2024-10-31,2746.79,2356.45,2658.35,3732870.29,9401222443.24,2724.61,direct,
2024-11-07,3446.83,2701.67,2724.61,8229143.36,25897593781.44,3191.32,direct,
2024-11-14,3242.46,3014.42,3191.32,6550035.05,20391246163.44,3072.39,direct,
2024-11-21,3688.67,3035.42,3072.39,8156119.62,27549392782.33,3657.71,direct,
2024-11-28,3896.39,3502.19,3657.71,6031652.15,22122684607.6,3845.15,direct,
2024-12-05,4095.77,3516.11,3845.15,7083859.56,27058576816.98,3834.97,direct,
2024-12-12,4109.05,3615.92,3834.97,5583101.65,21755052527.74,3624.67,direct,
2024-12-19,3718.21,3097.02,3624.67,9015092.22,30574502962.73,3494.17,direct,
2024-12-26,3512.4,3297.17,3494.17,4418110.31,14846371741.45,3353.28,direct,
2025-01-02,3745.42,3206.56,3353.28,4648988.32,16234079480.83,3326.54,direct,
2025-01-09,3474.83,2914.43,3326.54,4632596.94,14876177621.87,3451.52,direct,
2025-01-16,3526.53,3125.79,3451.52,6523943.81,21617802982.07,3241.51,direct,
2025-01-23,3429.38,3019.62,3241.51,6535407.06,20914761481.04,3114.1,direct,
2025-01-30,3438.39,2135.28,3114.1,10034297.68,28980989102.94,2788.52,direct,
2025-02-06,2859.03,2523.01,2788.52,6991511.69,18664557520.51,2738.57,direct,
2025-02-13,2849.7,2604.91,2738.57,3312269.71,8938048635.6,2715.47,direct,
2025-02-20,2855.62,2253.78,2715.47,5120164.76,13203532673.15,2333.12,direct,
2025-02-27,2333.12,2142.32,2333.12,390223.24,862638324.2,2213.46,direct,
